Game_ID,Version,Result,Player_Score,Dealer_Score,Delta_Avg,Time_Taken
1,v_0_3,0,3440,2776,385.579425938285,0.5890462398529053
2,v_0_3,1,3585,4926,449.0350771363925,0.4876842498779297
3,v_0_3,0,7036,6031,-225.84471299136285,0.617509126663208
4,v_0_3,1,2077,3831,263.0712515432406,0.5614781379699707
5,v_0_3,0,3349,2881,-27.490838187986128,0.8280019760131836
6,v_0_3,0,6258,5765,91.62624089957535,0.688478946685791
7,v_0_3,1,2499,6716,309.3047434973145,0.7577347755432129
8,v_0_3,1,3574,4122,253.10446653398046,0.8310809135437012
9,v_0_3,1,2012,5378,492.1624895298453,0.4789309501647949
10,v_0_3,1,4646,5106,59.609004950345295,0.9010448455810547
11,v_0_3,1,2955,3239,206.35775188010427,0.7807559967041016
12,v_0_3,1,3638,5977,266.8494036537875,0.5656111240386963
13,v_0_3,0,3833,2657,279.9865306018015,1.5551040172576904
14,v_0_3,0,1678,540,409.3911152872017,0.6116650104522705
15,v_0_3,1,1887,5421,320.29831934829224,0.8393957614898682
16,v_0_3,1,1611,5442,479.01651573593375,0.7085409164428711
17,v_0_3,1,3551,4755,59.09139921830832,0.6329519748687744
18,v_0_3,1,2721,6231,416.09815553426813,0.5654201507568359
19,v_0_3,1,2469,3029,185.49740538165116,0.8651070594787598
20,v_0_3,0,5097,2315,107.57959845373261,1.0989642143249512
21,v_0_3,0,4231,3185,278.3847832651386,0.9105329513549805
22,v_0_3,1,3607,6102,211.66716114284372,1.0285961627960205
23,v_0_3,0,3558,3154,260.3516960516501,1.3838567733764648
24,v_0_3,1,2614,2831,639.920877326441,0.8044312000274658
25,v_0_3,0,6376,3123,-128.01613066596937,0.8382039070129395
26,v_0_3,0,2560,1499,510.4614536148633,0.7752609252929688
27,v_0_3,0,5852,2404,-26.204369245206717,0.5743579864501953
28,v_0_3,1,2755,6038,85.46721806934222,0.7473976612091064
29,v_0_3,1,191,252,723.2548819806477,1.313507080078125
30,v_0_3,1,4254,6693,-137.50603963282975,0.49843692779541016
31,v_0_3,1,3338,5847,142.50838685163413,1.0280141830444336
